"","es","ss_per_period","power","sd","n","se","low_95","high_95","num_per_cluster"
"140",0.15,3450,1,0,200,0,1,1,58
"141",0.03,3550,0.865,0.342581098493811,200,0.024224141785131,0.817520682101143,0.912479317898857,60
"142",0.05,3550,1,0,200,0,1,1,60
"143",0.1,3550,1,0,200,0,1,1,60
"144",0.15,3550,1,0,200,0,1,1,60
"145",0.03,3650,0.855,0.352984404683477,200,0.0249597666204783,0.806078857423862,0.903921142576138,61
"146",0.05,3650,1,0,200,0,1,1,61
"147",0.1,3650,1,0,200,0,1,1,61
"148",0.15,3650,1,0,200,0,1,1,61
"149",0.03,3750,0.82,0.385151539712246,200,0.0272343265514969,0.766620719959066,0.873379280040934,63
"150",0.05,3750,1,0,200,0,1,1,63
"151",0.1,3750,1,0,200,0,1,1,63
"152",0.15,3750,1,0,200,0,1,1,63
"153",0.03,3850,0.86,0.347857765653763,200,0.0245972584982177,0.811789373343493,0.908210626656507,65
"154",0.05,3850,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,65
"155",0.1,3850,1,0,200,0,1,1,65
"156",0.15,3850,1,0,200,0,1,1,65
"157",0.03,3950,0.875,0.331548824633082,200,0.0234440422192481,0.829049677250274,0.920950322749726,66
"158",0.05,3950,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,66
"159",0.1,3950,1,0,200,0,1,1,66
"160",0.15,3950,1,0,200,0,1,1,66
